"","name","year","nominations","rating","duration","Action","Adventure","Biography","Comedy","Crime","Drama","Musical","Western","Family","Film-Noir","History","Mystery","Romance","Sport","War","director_name","actor_2_name","gross","actor_1_name","actor_3_name","plot_keywords","language","country","budget","Fantasy","Sci.Fi","Thriller","Documentary","Horror","Animation"
"25","NO COUNTRY FOR OLD MEN",2007,8,8.1,122,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Ethan Coen","Stephen Root",74273505,"Kelly Macdonald","Barry Corbin","coin toss|desert|sheriff|texas|tracking device","English","USA",2.5e+07,0,0,1,0,0,0
"26","THE DEPARTED",2006,5,8.5,151,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Martin Scorsese","Matt Damon",132373442,"Leonardo DiCaprio","Ray Winstone","boston|mole|police|undercover|undercover cop","English","USA",9e+07,0,0,1,0,0,0
"27","CRASH",2004,6,7.9,115,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Paul Haggis","Loretta Devine",54557348,"Don Cheadle","Jennifer Esposito","race relations|racism|racist|social problem|stereotype","English","Germany",6500000,0,0,1,0,0,0
"28","MILLION DOLLAR BABY",2004,7,8.1,132,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"Clint Eastwood","Morgan Freeman",100422786,"Clint Eastwood","Mike Colter","boxing|boxing trainer|death|suicide attempt|women boxing","English","USA",3e+07,0,0,0,0,0,0
"29","THE LORD OF THE RINGS: THE RETURN OF THE KING",2003,11,8.9,192,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Peter Jackson","Billy Boyd",377019252,"Orlando Bloom","Bernard Hill","battle|epic|king|orc|ring","English","USA",9.4e+07,1,0,0,0,0,0
"30","CHICAGO",2002,13,7.2,113,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,"Rob Marshall","Chita Rivera",170684505,"Colm Feore","Jayne Eastwood","fame|jail|jazz age|murder|vaudeville","English","USA",4.5e+07,0,0,0,0,0,0
"31","A BEAUTIFUL MIND",2001,8,8.2,135,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Ron Howard","Austin Pendleton",170708996,"Adam Goldberg","Judd Hirsch","conspiracy|cryptography|mathematician|mental illness|nobel prize","English","USA",5.8e+07,0,0,0,0,0,0
"32","GLADIATOR",2000,12,8.5,171,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Ridley Scott","Connie Nielsen",187670866,"Djimon Hounsou","Oliver Reed","battlefield|blood|combat|gladiator|roman empire","English","USA",1.03e+08,0,0,0,0,0,0
"33","AMERICAN BEAUTY",1999,8,8.4,122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Sam Mendes","Peter Gallagher",130058047,"Kevin Spacey","Ara Celi","domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness","English","USA",1.5e+07,0,0,0,0,0,0
"34","SHAKESPEARE IN LOVE",1998,13,7.2,123,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"John Madden","Martin Clunes",100241322,"Tom Wilkinson","Simon Callow","actor|audition|muse|playwright|theater","English","USA",2.5e+07,0,0,0,0,0,0
"35","TITANIC",1997,14,7.7,194,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"James Cameron","Kate Winslet",658672302,"Leonardo DiCaprio","Gloria Stuart","artist|love|ship|titanic|wet","English","USA",2e+08,0,0,0,0,0,0
"36","THE ENGLISH PATIENT",1996,12,7.4,162,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,"Anthony Minghella","Kristin Scott Thomas",78651430,"Colin Firth","J?rgen Prochnow","church|english|flashback|nurse|patient","English","USA",2.7e+07,0,0,0,0,0,0
"37","BRAVEHEART",1995,10,8.4,178,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,"Mel Gibson","Patrick McGoohan",75600000,"Mhairi Calvey","James Robinson","14th century|legend|revolt|scotland|tyranny","English","USA",7.2e+07,0,0,0,0,0,0
"38","FORREST GUMP",1994,13,8.8,142,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Robert Zemeckis","Siobhan Fallon Hogan",329691196,"Tom Hanks","Sam Anderson","amputee|love|vietnam|vietnam war|war hero","English","USA",5.5e+07,0,0,0,0,0,0
"39","SCHINDLER'S LIST",1993,12,8.9,185,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"Steven Spielberg","Embeth Davidtz",96067179,"Liam Neeson","Caroline Goodall","german|german soldier|jew|jewish|nazi","English","USA",2.2e+07,0,0,0,0,0,0
"40","UNFORGIVEN",1992,10,8.3,131,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Clint Eastwood","Morgan Freeman",101157447,"Clint Eastwood","Frances Fisher","englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave","English","USA",14400000,0,0,0,0,0,0
"41","THE SILENCE OF THE LAMBS",1991,7,8.6,138,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Jonathan Demme","Scott Glenn",130727000,"Anthony Hopkins","Anthony Heald","case file|fbi agent|psycho thriller|psychopath|serial killer","English","USA",1.9e+07,0,0,1,0,1,0
"42","DANCES WITH WOLVES",1990,12,8,236,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,"Kevin Costner","Michael Spears",184208848,"Mary McDonnell","Maury Chaykin","friendship|frontier|honor|outpost|soldier","English","USA",2.2e+07,0,0,0,0,0,0
"43","DRIVING MISS DAISY",1989,9,7.4,99,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"Bruce Beresford","Jessica Tandy",106593296,"Morgan Freeman","Patti LuPone","1950s|african american|jewish|old age|widow","English","USA",7500000,0,0,0,0,0,0
"44","RAIN MAN",1988,8,8,133,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Barry Levinson","Valeria Golino",172825435,"Tom Cruise","Beth Grant","buick|convertible|last will and testament|savant|travel","English","USA",2.5e+07,0,0,0,0,0,0
"45","THE LAST EMPEROR",1987,9,7.8,219,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"Bernardo Bertolucci","Joan Chen",43984230,"Cary-Hiroyuki Tagawa","Victor Wong","abdication|china|emperor|forbidden city|republic","English","China",2.3e+07,0,0,0,0,0,0
"46","PLATOON",1986,8,8.1,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Oliver Stone","Tom Berenger",137963328,"Johnny Depp","Kevin Dillon","1960s|famous score|hero|vietnam|vietnam war","English","UK",6e+06,0,0,0,0,0,0
"47","OUT OF AFRICA",1985,11,7.2,161,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,"Sydney Pollack","Michael Gough",87100000,"Meryl Streep","Michael Kitchen","africa|hunter|love|marriage|plantation","English","USA",3.1e+07,0,0,0,0,0,0
"48","AMADEUS",1984,11,8.3,180,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,"Milos Forman","F. Murray Abraham",51600000,"Jeffrey Jones","Tom Hulce","1800s|classical composer|composer|first person narration|opera","English","USA",1.8e+07,0,0,0,0,0,0
"49","GANDHI",1982,11,8.1,240,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"Richard Attenborough","Amrish Puri",48468407.5268093,"Candice Bergen","John Gielgud","british|india|indian|muslim|pakistan","English","UK",2.2e+07,0,0,0,0,0,0
"50","CHARIOTS OF FIRE",1981,7,7.2,125,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,"Hugh Hudson","Ben Cross",58800000,"Alice Krige","John Gielgud","athlete|jew|missionary|olympic games|race","English","UK",5500000,0,0,0,0,0,0
"51","ORDINARY PEOPLE",1980,6,7.8,124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Robert Redford","Elizabeth McGovern",54800000,"Adam Baldwin","Judd Hirsch","choir|death|friend|suicide|therapy","English","USA",6e+06,0,0,0,0,0,0
"52","THE DEER HUNTER",1978,9,8.2,183,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Michael Cimino","Meryl Streep",48468407.5268093,"Robert De Niro","John Savage","escape|friend|party|pittsburgh steelers|vietnam","English","UK",1.5e+07,0,0,0,0,0,0
"53","ANNIE HALL",1977,5,8.1,93,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Woody Allen","Carol Kane",39200000,"Woody Allen","Shelley Duvall","breaking the fourth wall|comedian|jewish|neurosis|singer","English","USA",4e+06,0,0,0,0,0,0
"54","ROCKY",1976,10,8.1,145,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"John G. Avildsen","Burgess Meredith",117235247,"Sylvester Stallone","Carl Weathers","boxer|hometown hero|philadelphia pennsylvania|protective male|training","English","USA",960000,0,0,0,0,0,0
"55","ONE FLEW OVER THE CUCKOO'S NEST",1975,9,8.7,133,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Milos Forman","Michael Berryman",1.12e+08,"Scatman Crothers","Louise Fletcher","1960s|escape|mental institution|nurse|sexuality","English","USA",4400000,0,0,0,0,0,0
"56","THE GODFATHER: PART II",1974,11,9,220,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Francis Ford Coppola","Al Pacino",57300000,"Robert De Niro","Robert Duvall","1950s|corrupt politician|lake tahoe nevada|melancholy|revenge","English","USA",1.3e+07,0,0,0,0,0,0
"57","THE STING",1973,10,8.3,129,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"George Roy Hill","Robert Shaw",159600000,"Eileen Brennan","Ray Walston","con|con man|courier|long con|murder","English","USA",5500000,0,0,0,0,0,0
"58","THE GODFATHER",1972,11,9.2,175,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Francis Ford Coppola","Marlon Brando",134821952,"Al Pacino","Robert Duvall","crime family|mafia|organized crime|patriarch|rise to power","English","USA",6e+06,0,0,0,0,0,0
"59","THE FRENCH CONNECTION",1971,8,7.8,104,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"William Friedkin","Fernando Rey",48468407.5268093,"Roy Scheider","Tony Lo Bianco","crime boss|drug smuggling|heroin|mafia boss|organized crime","English","USA",1800000,0,0,1,0,0,0
"60","PATTON",1970,10,8,172,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,"Franklin J. Schaffner","Karl Malden",48468407.5268093,"George C. Scott","Bill Hickman","allies|dead soldier|destiny|general|tank","English","USA",1.2e+07,0,0,0,0,0,0
"61","MIDNIGHT COWBOY",1969,7,7.9,113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"John Schlesinger","Barnard Hughes",48468407.5268093,"Brenda Vaccaro","John McGiver","gay|homosexual|homosexuality|hustler|male rear nudity","English","USA",3600000,0,0,0,0,0,0
"62","OLIVER!",1968,11,7.5,153,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"Carol Reed","Ron Moody",16800000,"Oliver Reed","Jack Wild","abuse|child|orphan|orphanage|pickpocket","English","UK",1e+07,0,0,0,0,0,0
"63","A MAN FOR ALL SEASONS",1966,8,7.9,120,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"Fred Zinnemann","Susannah York",48468407.5268093,"Robert Shaw","Paul Scofield","catholic|chancellor|divorce|king henry viii|thomas more","English","UK",2e+06,0,0,0,0,0,0
"64","THE SOUND OF MUSIC",1965,10,8,174,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,"Robert Wise","Angela Cartwright",163214286,"Eleanor Parker","Nicholas Hammond","austria|children|governess|love|orchestral music score","English","USA",8200000,0,0,0,0,0,0
"65","MY FAIR LADY",1964,12,7.9,170,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,"George Cukor","Rex Harrison",7.2e+07,"Jeremy Brett","Theodore Bikel","colonel|flower girl|professor|street|wager","English","USA",1.7e+07,0,0,0,0,0,0
"66","TOM JONES",1963,10,6.8,121,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"Tony Richardson","Susannah York",48468407.5268093,"Albert Finney","Hugh Griffith","18th century|rags to riches|secret letter|squire|tutor","English","UK",1e+06,0,0,0,0,0,0
"67","LAWRENCE OF ARABIA",1962,10,8.4,227,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,"David Lean","Jos? Ferrer",6e+06,"Claude Rains","Jack Hawkins","arab|british military|desert|ottoman empire|t.e. lawrence","English","UK",1.5e+07,0,0,0,0,0,0
"68","WEST SIDE STORY",1961,11,7.6,152,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,"Jerome Robbins","George Chakiris",43650000,"Rita Moreno","Richard Beymer","dance|gang|new york city|puerto rican|tragedy","English","USA",6e+06,0,0,1,0,0,0
"69","THE APARTMENT",1960,10,8.3,125,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"Billy Wilder","Ray Walston",48468407.5268093,"Fred MacMurray","David White","apartment|elevator|elevator girl|love|mistress","English","USA",3e+06,0,0,0,0,0,0
"70","THE BRIDGE ON THE RIVER KWAI",1957,8,8.2,161,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,"David Lean","Sessue Hayakawa",27200000,"William Holden","Jack Hawkins","allies|bridge|construction|jungle|sabotage","English","UK",3e+06,0,0,0,0,0,0
"71","AROUND THE WORLD IN 80 DAYS",2004,8,5.8,120,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Frank Coraci","Steve Coogan",24004159,"Jim Broadbent","C?cile De France","19th century|around the world|inventor|martial arts|train","English","USA",1.1e+08,0,0,0,0,0,0
"72","ON THE WATERFRONT",1954,12,8.2,108,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,"Elia Kazan","Karl Malden",9600000,"Marlon Brando","Rod Steiger","death|dock|longshoreman|murder|union","English","USA",910000,0,0,0,0,0,0
"73","FROM HERE TO ETERNITY",1953,13,7.8,118,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,"Fred Zinnemann","Donna Reed",48468407.5268093,"Montgomery Clift","Deborah Kerr","boxing|captain|hawaii|love|sergeant","English","USA",1650000,0,0,0,0,0,0
"74","THE GREATEST SHOW ON EARTH",1952,5,6.7,152,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"Cecil B. DeMille","Dorothy Lamour",3.6e+07,"Gloria Grahame","Cornel Wilde","circus|clown|elephant trainer|trapeze|trapeze artist","English","USA",4e+06,0,0,0,0,0,0
"75","ALL THE KING'S MEN",2006,7,6.2,128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Steven Zaillian","Anthony Hopkins",7221458,"Kate Winslet","Kevin Dunn","governor|journalist|louisiana|mistress|politician","English","Germany",5.5e+07,0,0,1,0,0,0
"76","HAMLET",1996,7,7.8,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Kenneth Branagh","Brian Blessed",4414535,"Julie Christie","Richard Briers","classic literature|denmark|funeral|madness|prince","English","UK",1.8e+07,0,0,0,0,0,0
"77","GENTLEMAN'S AGREEMENT",1947,8,7.4,118,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Elia Kazan","Celeste Holm",48468407.5268093,"Dean Stockwell","John Garfield","bigotry|jewish|prejudice|racism|writer","English","USA",2e+06,0,0,0,0,0,0
"78","THE BEST YEARS OF OUR LIVES",1946,8,8.1,172,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,"William Wyler","Teresa Wright",23650000,"Myrna Loy","Dana Andrews","love|pity|readjusting to civilian life|veteran|world war two veteran","English","USA",2100000,0,0,0,0,0,0
"79","THE LOST WEEKEND",1945,7,8,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Billy Wilder","Jane Wyman",48468407.5268093,"Ray Milland","Frank Faylen","addiction|alcoholic|alcoholism|paranoia|suicidal thoughts","English","USA",1250000,0,0,0,0,0,0
"80","CASABLANCA",1942,8,8.6,82,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,"Michael Curtiz","Claude Rains",48468407.5268093,"Humphrey Bogart","Conrad Veidt","american expatriate|casablanca morocco|gestapo|police|visa","English","USA",950000,0,0,0,0,0,0
"81","HOW GREEN WAS MY VALLEY",1941,10,7.8,118,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"John Ford","Walter Pidgeon",48468407.5268093,"Roddy McDowall","Barry Fitzgerald","coal mine|girl|school|village|wales","English","USA",1250000,0,0,0,0,0,0
"82","REBECCA",1940,11,8.2,130,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Alfred Hitchcock","Joan Fontaine",48468407.5268093,"Laurence Olivier","George Sanders","death|estate|housekeeper|love|monte carlo","English","USA",1288000,0,0,1,0,0,0
"83","GONE WITH THE WIND",1939,13,8.2,226,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,"Victor Fleming","George Reeves",198655278,"Hattie McDaniel","Thomas Mitchell","battle of the sexes|gallantry|honesty|indifference|scandal","English","USA",3977000,0,0,0,0,0,0
"84","YOU CAN'T TAKE IT WITH YOU",1938,7,8,126,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"Frank Capra","Ann Miller",48468407.5268093,"Jean Arthur","Lionel Barrymore","eccentric|friend|house|monopoly|stenographer","English","USA",1644736,0,0,0,0,0,0
"85","IT HAPPENED ONE NIGHT",1934,5,8.2,65,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Frank Capra","Alan Hale",48468407.5268093,"Claudette Colbert","Walter Connolly","bus|detective|love|money|reporter","English","USA",325000,0,0,0,0,0,0
"86","THE BROADWAY MELODY",1929,3,6.3,100,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Harry Beaumont","Bessie Love",2808000,"Anita Page","Charles King","sibling rivalry|singer|sister act|whistling|wisecrack humor","English","USA",379000,0,0,0,0,0,0
"87","ANCHORMAN: THE LEGEND OF RON BURGUNDY",2004,0,7.2,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Adam McKay","Will Ferrell",84136909,"Darcy Donavan","Steve Carell","1970s|anchorman|news anchor|newsroom|tv station","English","USA",2.6e+07,0,0,0,0,0,0
"88","THE FINAL DESTINATION",2009,0,5.2,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"David R. Ellis","Andrew Fiscella",66466372,"Krista Allen","Shantel VanSanten","attempted suicide|car crash|collapsing scaffold|overflowing bathtub|tooth knocked out","English","USA",4e+07,0,0,0,0,1,0
"89","TREACHERY",2013,0,3.9,67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Travis Romero","Lorraine Ziff",48468407.5268093,"Matthew Ziff","Michael Biehn","panties|white panties","English","USA",625000,0,0,1,0,0,0
"90","HARDFLIP",2012,0,5.6,112,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Johnny Remo","Randy Wayne",96734,"Matthew Ziff","Raquel Elizabeth Ames","family relationships|loss of mother|san diego california|single mother|suicide attempt","English","USA",1e+06,0,0,0,0,0,0
"92","FEAST",2005,0,6.4,95,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"John Gulager","Eric Dane",48468407.5268093,"Krista Allen","Henry Rollins","bar|bloody body of child|dead boy|monster|vomiting","English","USA",3200000,0,0,1,0,1,0
"93","QUARANTINE",2008,0,6,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"John Erick Dowdle","Jay Hernandez",31691811,"Andrew Fiscella","Dania Ramirez","apartment building|found footage|television|trapped|virus","English","USA",1.2e+07,0,1,1,0,1,0
"94","ARMORED",2009,0,5.7,88,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Nimr?d Antal","Fred Ward",15988876,"Andrew Fiscella","Lorna Raver","armored truck|blood splatter|die hard scenario|guard|heist","English","USA",2.7e+07,0,0,1,0,0,0
"95","THE AMITYVILLE HORROR",2005,0,6,90,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Andrew Douglas","Chlo? Grace Moretz",64255243,"Jimmy Bennett","Ryan Reynolds","ghost|haunted house|murder|nightmare|priest","English","USA",1.9e+07,0,0,1,0,1,0
"96","EVAN ALMIGHTY",2007,0,5.4,96,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Tom Shadyac","Morgan Freeman",100289690,"Jimmy Bennett","Steve Carell","ark|change|congressman|depiction of god|flood","English","USA",1.75e+08,1,0,0,0,0,0
"97","THE DARK KNIGHT RISES",2012,0,8.5,164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Christopher Nolan","Christian Bale",448130642,"Tom Hardy","Joseph Gordon-Levitt","deception|imprisonment|lawlessness|police officer|terrorist plot","English","USA",2.5e+08,0,0,1,0,0,0
"98","HOSTAGE",2005,0,6.6,113,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,"Florent-Emilio Siri","Bruce Willis",34636443,"Jimmy Bennett","Ransford Doherty","california|hostage|hostage negotiator|organized crime|police","English","USA",5.2e+07,0,0,1,0,0,0
"99","FIREWALL",2006,0,5.8,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Richard Loncraine","Harrison Ford",48745150,"Jimmy Bennett","Mary Lynn Rajskub","architect|bank|cayman islands|meeting|murder","English","USA",5e+07,0,0,1,0,0,0
"100","POSEIDON",2006,0,5.6,98,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Wolfgang Petersen","Mike Vogel",60655503,"Jimmy Bennett","Andre Braugher","cruise|escape|ocean|passenger|water","English","USA",1.6e+08,0,0,1,0,0,0
"102","X-MEN: DAYS OF FUTURE PAST",2014,0,8,149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bryan Singer","Peter Dinklage",233914986,"Jennifer Lawrence","Hugh Jackman","dystopia|super strength|supernatural power|time paradox|time travel","English","USA",2e+08,1,1,1,0,0,0
